id,name,email,linkedin_url,location,education_level,university,years_experience,previous_company,domain_expertise,technical_background,serial_entrepreneur,created_at
founder_0,Amanda Hernandez,uphillips@example.org,https://linkedin.com/in/raymond93,Nashville,Bachelor's,,6,Amazon,"['AgriTech', 'Cybersecurity']",False,False,2021-04-01
founder_1,David Norman,foxmichael@example.org,https://linkedin.com/in/james02,Denver,Bachelor's,,15,Microsoft,['FinTech'],True,False,2018-01-07
founder_2,Shirley Thompson,srosario@example.org,https://linkedin.com/in/josephhale,Los Angeles,Bootcamp,UC Berkeley,22,Finance,"['FoodTech', 'AI/ML', 'MarTech']",False,False,2019-05-12
founder_3,Andre Velazquez,heather25@example.net,https://linkedin.com/in/castromargaret,Portland,Self-taught,,9,Facebook,"['IoT', 'EdTech']",False,False,2018-05-23
founder_4,Brian Hayden,amanda43@example.com,https://linkedin.com/in/rebeccabarnes,Denver,PhD,Other,0,Facebook,['IoT'],True,True,2016-03-05
founder_5,Lydia Taylor,karenwang@example.net,https://linkedin.com/in/hoffmanalan,Austin,Self-taught,Harvard,23,Tesla,"['E-commerce', 'Cybersecurity', 'AgriTech']",True,False,2018-02-23
founder_6,Audrey Davidson,charleswright@example.org,https://linkedin.com/in/josephnolan,Washington DC,Master's,Harvard,23,Finance,"['Blockchain', 'E-commerce']",True,False,2022-08-16
founder_7,Mrs. Jordan Wang DDS,jessicacole@example.org,https://linkedin.com/in/pwest,San Francisco,PhD,UC Berkeley,4,Facebook,['AgriTech'],True,False,2018-04-03
founder_8,Austin Torres,greenjoshua@example.com,https://linkedin.com/in/joseph32,Philadelphia,PhD,MIT,3,Amazon,"['InsurTech', 'FoodTech', 'HRTech']",False,True,2020-10-15
founder_9,William Sellers,jessica75@example.org,https://linkedin.com/in/vcastaneda,Chicago,PhD,Other,6,Microsoft,"['PropTech', 'AgriTech']",True,False,2025-03-08
founder_10,Carol Martin,xmiller@example.com,https://linkedin.com/in/michaelortiz,San Francisco,Self-taught,UC Berkeley,13,Startup,"['Cybersecurity', 'Gaming', 'SaaS']",False,False,2017-06-08
founder_11,Laurie Callahan,mistyneal@example.org,https://linkedin.com/in/juanbenton,Phoenix,Bachelor's,CMU,6,Tesla,['FinTech'],True,True,2017-06-27
founder_12,Lisa Brandt,unorris@example.com,https://linkedin.com/in/ygarcia,Los Angeles,Bachelor's,,24,Apple,"['AgriTech', 'HealthTech']",True,False,2023-02-09
founder_13,Miranda Morris,jon60@example.com,https://linkedin.com/in/lisa15,Portland,PhD,Other,8,Tesla,"['InsurTech', 'HealthTech']",False,False,2021-01-02
founder_14,Misty Walker,irobinson@example.org,https://linkedin.com/in/adavis,Austin,Self-taught,,16,Startup,['InsurTech'],True,False,2017-10-30
founder_15,Gregory Peters,codycaldwell@example.org,https://linkedin.com/in/ysmith,Miami,Master's,MIT,9,Google,['HRTech'],True,False,2024-07-29
founder_16,Kristen Todd,melanie20@example.net,https://linkedin.com/in/joshuacox,New York,Bachelor's,Other,1,Facebook,"['Gaming', 'FinTech', 'FoodTech']",True,True,2023-12-26
founder_17,Lisa Peters,dylanyork@example.com,https://linkedin.com/in/sarahmerritt,Austin,Self-taught,Harvard,5,Tesla,"['E-commerce', 'InsurTech', 'MarTech']",False,False,2025-05-07
founder_18,Jamie Williams,alicia02@example.net,https://linkedin.com/in/flynch,Seattle,Master's,CMU,18,Amazon,"['EdTech', 'LegalTech', 'HRTech']",True,False,2018-06-30
founder_19,Jessica Miller,richardmorgan@example.org,https://linkedin.com/in/tsmith,Philadelphia,Bachelor's,,2,Startup,"['LegalTech', 'E-commerce']",True,False,2023-03-02
founder_20,Brooke David,james57@example.net,https://linkedin.com/in/elijahstout,Washington DC,Master's,,25,Tesla,"['FinTech', 'PropTech']",False,False,2022-05-14
founder_21,Thomas Kelly,geoffreyking@example.net,https://linkedin.com/in/sleblanc,Austin,Bachelor's,UC Berkeley,13,Microsoft,"['SaaS', 'Cybersecurity']",False,True,2021-12-30
founder_22,Leah Knight,jonescourtney@example.com,https://linkedin.com/in/sbradley,Portland,Bootcamp,MIT,10,Tesla,['HRTech'],True,False,2019-10-10
founder_23,Scott Maxwell,heather48@example.org,https://linkedin.com/in/kaguirre,Chicago,Master's,Caltech,4,Startup,"['MarTech', 'Cybersecurity']",False,False,2017-01-02
founder_24,Antonio Soto,amandalewis@example.org,https://linkedin.com/in/justin75,Seattle,Self-taught,Stanford,13,Tesla,['LegalTech'],True,False,2024-10-19
founder_25,Melissa Stevens,dhoward@example.org,https://linkedin.com/in/lisa19,Seattle,Master's,,2,Tesla,"['SaaS', 'IoT']",False,False,2023-06-02
founder_26,Justin Barnett,rodriguezroger@example.net,https://linkedin.com/in/brownmelissa,Los Angeles,PhD,Other,14,Amazon,"['HRTech', 'Blockchain', 'IoT']",True,False,2017-03-10
founder_27,Jennifer Garcia,hbrowning@example.com,https://linkedin.com/in/lauramccarty,Philadelphia,Bootcamp,,15,Facebook,['LegalTech'],True,False,2024-12-11
founder_28,Gary Bennett,larry07@example.org,https://linkedin.com/in/codycollins,Phoenix,PhD,Other,14,Google,"['HealthTech', 'MarTech']",True,False,2021-01-22
founder_29,Erin Schultz,munozcody@example.org,https://linkedin.com/in/jason88,Portland,Bootcamp,,19,Apple,"['LegalTech', 'E-commerce', 'InsurTech']",True,False,2023-09-02
founder_30,Mary Morales,clarkjacqueline@example.net,https://linkedin.com/in/stephen69,Denver,Bootcamp,Harvard,18,Apple,"['MarTech', 'LegalTech']",True,False,2024-11-07
founder_31,Gary Hawkins,wwatson@example.net,https://linkedin.com/in/bradyheather,Philadelphia,PhD,,18,Facebook,"['FinTech', 'AgriTech', 'MarTech']",True,False,2022-02-03
founder_32,Eric Long,bautistawilliam@example.net,https://linkedin.com/in/nicolemcdonald,Atlanta,Master's,UC Berkeley,21,Amazon,['AgriTech'],False,True,2025-03-26
founder_33,Paula Montoya,dylanpowell@example.net,https://linkedin.com/in/rtaylor,Nashville,Master's,CMU,10,Finance,"['Cybersecurity', 'HRTech', 'AI/ML']",True,False,2016-03-14
founder_34,Ashley Johnson,dwilliams@example.com,https://linkedin.com/in/druiz,Philadelphia,Bootcamp,CMU,7,Startup,"['SaaS', 'MarTech', 'HealthTech']",True,True,2024-02-08
founder_35,Rachel Smith,nicolecain@example.net,https://linkedin.com/in/taylorsean,Phoenix,Bachelor's,Stanford,5,Consulting,"['Cybersecurity', 'E-commerce', 'IoT']",True,False,2016-03-06
founder_36,Anne Jones,wilsonmichelle@example.net,https://linkedin.com/in/qharris,Phoenix,PhD,Harvard,0,Google,"['CleanTech', 'InsurTech']",False,False,2017-03-17
founder_37,Christopher Williamson,wjohnson@example.org,https://linkedin.com/in/ismith,Portland,PhD,,11,Google,"['Gaming', 'FinTech']",True,True,2022-09-28
founder_38,Scott Garcia,bclark@example.net,https://linkedin.com/in/tanya17,Austin,Bachelor's,CMU,1,Apple,"['AI/ML', 'AgriTech']",False,False,2024-06-26
founder_39,Kristen Arnold,melissaweaver@example.org,https://linkedin.com/in/kimberlyking,San Diego,Self-taught,,10,Consulting,"['AgriTech', 'InsurTech', 'AI/ML']",True,False,2022-02-15
founder_40,Diana Stanley,danielle13@example.org,https://linkedin.com/in/omonroe,San Francisco,Bootcamp,,2,Apple,"['CleanTech', 'FoodTech', 'InsurTech']",False,False,2017-01-09
founder_41,Jacqueline Rogers,bhall@example.org,https://linkedin.com/in/nsmith,Philadelphia,Master's,,8,Amazon,['IoT'],True,True,2018-05-28
founder_42,Alejandro Harrison,uwatson@example.net,https://linkedin.com/in/nortontiffany,Austin,Master's,CMU,5,Google,"['LegalTech', 'Cybersecurity', 'CleanTech']",True,False,2021-12-03
founder_43,Joseph Brown,michellecastaneda@example.org,https://linkedin.com/in/rmorgan,Miami,Master's,Other,24,Amazon,['HRTech'],True,False,2022-08-27
founder_44,Allen Roberts,adamstroy@example.org,https://linkedin.com/in/thompsonkathy,Chicago,Master's,CMU,14,Startup,"['PropTech', 'IoT', 'E-commerce']",True,False,2017-08-22
founder_45,Andrew Ferguson,ashley77@example.com,https://linkedin.com/in/thompsondavid,Phoenix,PhD,CMU,12,Startup,['Gaming'],True,False,2024-04-18
founder_46,Diane Reyes,kellywilliams@example.net,https://linkedin.com/in/matthewmckay,Austin,Master's,Other,25,Consulting,"['Blockchain', 'Cybersecurity', 'HealthTech']",True,False,2017-02-19
founder_47,John Jackson,jessica89@example.net,https://linkedin.com/in/callen,Miami,Self-taught,UC Berkeley,0,Google,"['Blockchain', 'CleanTech', 'Gaming']",False,False,2023-07-20
founder_48,Kimberly Wells PhD,branchcrystal@example.org,https://linkedin.com/in/bfisher,Philadelphia,Bootcamp,,13,Microsoft,"['InsurTech', 'FoodTech', 'E-commerce']",False,True,2022-04-21
founder_49,Victoria Morris,eatoncharlene@example.net,https://linkedin.com/in/dana18,Denver,PhD,Harvard,3,Apple,"['Blockchain', 'LegalTech']",False,False,2018-02-15
founder_50,Arthur Ramirez,mbennett@example.com,https://linkedin.com/in/isingh,Austin,Bootcamp,CMU,6,Amazon,"['AI/ML', 'MarTech', 'HRTech']",False,False,2016-03-31
founder_51,Alicia Brown,rmason@example.net,https://linkedin.com/in/joseph70,Miami,Master's,,20,Apple,"['FoodTech', 'FinTech']",True,False,2024-05-15
founder_52,Jorge Barnes,ystewart@example.com,https://linkedin.com/in/michaelstanley,Portland,Master's,Stanford,19,Amazon,"['InsurTech', 'Cybersecurity', 'FinTech']",False,True,2016-09-07
founder_53,Maria Robertson,charles15@example.net,https://linkedin.com/in/lori97,Los Angeles,Bootcamp,,23,Microsoft,"['Blockchain', 'CleanTech', 'MarTech']",False,False,2017-01-14
founder_54,Jonathan Jennings,christinefinley@example.net,https://linkedin.com/in/betty25,Atlanta,Bootcamp,Caltech,15,Tesla,['HealthTech'],False,False,2023-04-29
founder_55,Dawn Smith,rhardin@example.com,https://linkedin.com/in/lisadorsey,San Diego,Bachelor's,,9,Consulting,"['SaaS', 'PropTech']",True,False,2020-12-17
founder_56,Patrick Burke,ronaldwilliams@example.net,https://linkedin.com/in/tmoore,San Francisco,Bachelor's,,21,Consulting,['AI/ML'],True,False,2021-04-20
founder_57,Tony Henson,afields@example.org,https://linkedin.com/in/jennifer53,New York,Bootcamp,Harvard,18,Startup,"['AgriTech', 'CleanTech']",False,False,2015-08-12
founder_58,Aaron Neal,margaret46@example.org,https://linkedin.com/in/davismatthew,Denver,PhD,Harvard,1,Microsoft,"['InsurTech', 'HRTech']",True,True,2024-04-03
founder_59,Janet Harris,ohess@example.net,https://linkedin.com/in/howardtina,San Francisco,Bachelor's,Harvard,3,Finance,"['Blockchain', 'PropTech']",False,False,2018-05-15
founder_60,Margaret Schultz,samantha10@example.org,https://linkedin.com/in/bscott,Los Angeles,Self-taught,,22,Consulting,['AI/ML'],False,False,2016-03-05
founder_61,Theresa Stanley,beverlyford@example.com,https://linkedin.com/in/fmcgee,Philadelphia,Self-taught,CMU,13,Apple,"['InsurTech', 'SaaS', 'PropTech']",False,False,2016-11-26
founder_62,Gabriela Morris,fisherkaitlyn@example.net,https://linkedin.com/in/hollyroach,San Diego,Self-taught,Harvard,10,Microsoft,"['HealthTech', 'LegalTech', 'Blockchain']",True,False,2020-06-20
founder_63,Jennifer Bright,reginald81@example.net,https://linkedin.com/in/laurie14,San Francisco,Bachelor's,,23,Finance,"['E-commerce', 'PropTech', 'CleanTech']",False,False,2021-07-05
founder_64,Allison Diaz,stacygonzalez@example.com,https://linkedin.com/in/vincentyang,Washington DC,Bootcamp,,21,Consulting,"['PropTech', 'HealthTech']",True,False,2023-01-12
founder_65,Randy Rogers,martinjeremy@example.net,https://linkedin.com/in/brendanmorris,Dallas,PhD,,6,Finance,"['HRTech', 'AI/ML']",True,False,2018-11-09
founder_66,Angela Sanchez,michellewang@example.net,https://linkedin.com/in/iwalker,Atlanta,Master's,UC Berkeley,16,Consulting,['Blockchain'],True,False,2016-01-28
founder_67,James Hall,justin94@example.net,https://linkedin.com/in/ysampson,San Francisco,Bootcamp,MIT,19,Finance,"['HealthTech', 'HRTech', 'SaaS']",False,True,2019-11-27
founder_68,Elizabeth Rodriguez,greenkim@example.net,https://linkedin.com/in/lauraperez,Seattle,Self-taught,MIT,12,Apple,['FinTech'],True,False,2025-05-10
founder_69,Alejandra Hill,burnsjill@example.org,https://linkedin.com/in/johngray,Atlanta,PhD,Other,6,Microsoft,['SaaS'],True,False,2019-10-09
founder_70,Jennifer Wells,christopherschaefer@example.com,https://linkedin.com/in/omorris,Dallas,PhD,CMU,13,Finance,"['LegalTech', 'Cybersecurity', 'InsurTech']",True,False,2023-01-03
founder_71,Michael Howard,jennyweaver@example.net,https://linkedin.com/in/selena81,Philadelphia,Bachelor's,,10,Startup,"['E-commerce', 'EdTech']",True,True,2016-02-13
founder_72,Patrick Cameron,taraobrien@example.com,https://linkedin.com/in/morrisjames,Philadelphia,Master's,MIT,21,Consulting,"['HRTech', 'HealthTech']",True,False,2016-06-29
founder_73,Rachel Payne,greenkatherine@example.org,https://linkedin.com/in/martinezcory,New York,PhD,Harvard,18,Google,"['HRTech', 'FinTech']",True,False,2016-12-01
founder_74,Justin Maynard,tjones@example.net,https://linkedin.com/in/fordbryan,Phoenix,Bootcamp,MIT,21,Consulting,['Blockchain'],True,False,2024-03-08
founder_75,Eric Nicholson,aaron37@example.org,https://linkedin.com/in/emily93,San Diego,PhD,,23,Apple,"['Cybersecurity', 'LegalTech', 'MarTech']",False,False,2018-08-31
founder_76,Lauren Harris,ufrancis@example.org,https://linkedin.com/in/gmckenzie,San Diego,Bachelor's,,8,Facebook,"['FinTech', 'EdTech']",True,False,2019-09-07
founder_77,Catherine Edwards,april37@example.org,https://linkedin.com/in/jmarshall,Washington DC,Bootcamp,CMU,1,Consulting,"['Cybersecurity', 'SaaS']",True,True,2023-08-08
founder_78,Stephanie Lopez,debbie16@example.org,https://linkedin.com/in/elizabethbenton,Chicago,Self-taught,CMU,9,Facebook,"['Cybersecurity', 'IoT']",True,False,2024-05-12
founder_79,Ryan Morgan,hardingdiana@example.net,https://linkedin.com/in/clarkcrystal,San Diego,Self-taught,Stanford,10,Microsoft,"['E-commerce', 'AI/ML']",False,False,2017-10-03
founder_80,Christopher Frey,iallen@example.net,https://linkedin.com/in/kreyes,San Diego,Bachelor's,Harvard,22,Amazon,['Cybersecurity'],True,False,2023-07-14
founder_81,Tina Cunningham,john19@example.com,https://linkedin.com/in/erin09,Miami,Master's,UC Berkeley,24,Finance,['E-commerce'],False,False,2021-02-28
founder_82,Tamara Carlson,amytorres@example.org,https://linkedin.com/in/vanessascott,Seattle,PhD,UC Berkeley,20,Tesla,['Cybersecurity'],True,False,2018-08-11
founder_83,Amanda Arnold,kimberly23@example.org,https://linkedin.com/in/debra24,Philadelphia,PhD,,14,Tesla,['SaaS'],True,False,2016-01-24
founder_84,Meghan Moore,clong@example.org,https://linkedin.com/in/michaelcarr,Atlanta,Self-taught,Other,9,Finance,"['CleanTech', 'FinTech']",False,False,2016-08-09
founder_85,Angela Mitchell,aaronsmith@example.com,https://linkedin.com/in/whitneyavila,New York,Master's,,2,Apple,"['FinTech', 'AI/ML', 'HRTech']",False,False,2021-01-28
founder_86,Jeremy Williams,norriszachary@example.org,https://linkedin.com/in/cleonard,Phoenix,PhD,,20,Amazon,"['Cybersecurity', 'InsurTech', 'CleanTech']",True,False,2019-10-23
founder_87,Patrick Hernandez,smullen@example.com,https://linkedin.com/in/hoerika,San Francisco,PhD,Caltech,9,Startup,"['Cybersecurity', 'Blockchain', 'CleanTech']",False,False,2018-10-26
founder_88,Matthew Morgan,dominique27@example.net,https://linkedin.com/in/mthompson,New York,PhD,UC Berkeley,17,Apple,"['Blockchain', 'FinTech', 'HRTech']",False,False,2016-06-09
founder_89,Austin Murillo,joshuasmith@example.net,https://linkedin.com/in/jacobroberts,Phoenix,Master's,Stanford,8,Tesla,"['FoodTech', 'EdTech']",False,False,2022-05-04
founder_90,Janice Peterson,yfoley@example.net,https://linkedin.com/in/freynolds,Los Angeles,Master's,CMU,7,Amazon,"['FinTech', 'AI/ML', 'EdTech']",True,True,2018-11-08
founder_91,Pamela Long,josebennett@example.net,https://linkedin.com/in/frazierpaul,Dallas,PhD,CMU,22,Microsoft,"['AgriTech', 'AI/ML']",False,False,2023-03-14
founder_92,Kayla Cook,bennettdominique@example.org,https://linkedin.com/in/carlos98,Dallas,Bachelor's,Stanford,7,Finance,"['IoT', 'PropTech']",True,False,2018-09-08
founder_93,Kayla Nguyen,susan38@example.net,https://linkedin.com/in/reyesbarbara,Philadelphia,Bootcamp,Other,11,Consulting,['AI/ML'],True,False,2017-05-20
founder_94,Todd Savage,melissagreen@example.net,https://linkedin.com/in/matthewbarrera,Dallas,Bootcamp,MIT,9,Microsoft,['MarTech'],True,False,2018-01-31
founder_95,Jessica Johnson,vanessa78@example.net,https://linkedin.com/in/josephglenn,Austin,PhD,Harvard,19,Google,"['FinTech', 'E-commerce']",True,False,2023-06-28
founder_96,Kyle Rowland,qross@example.com,https://linkedin.com/in/kristinajones,Miami,Bootcamp,Other,20,Finance,"['InsurTech', 'IoT']",True,True,2019-02-16
